time,activity,Started,Ended,Comments
14/11/2022 09:00,Saber,14/11/2022 15:55,14/11/2022 16:42,
14/11/2022 09:30,Aera,14/11/2022 16:42,14/11/2022 16:53,
14/11/2022 10:00,Nett,14/11/2022 17:00,14/11/2022 17:15,floor: javel + vaseille
14/11/2022 10:30,Asp,14/11/2022 17:15,14/11/2022 17:25,
14/11/2022 11:00,AS1,15/11/2022 09:30,15/11/2022 10:00,
14/11/2022 11:30,Aera,15/11/2022 10:00,15/11/2022 10:10,
14/11/2022 12:00,Saber,15/11/2022 10:15,15/11/2022 10:45,
14/11/2022 12:30,Asp,15/11/2022 11:10,15/11/2022 11:20,
14/11/2022 13:00,Bougie,15/11/2022 11:20,15/11/2022 11:50,
14/11/2022 13:30,SdB,15/11/2022 14:30,15/11/2022 15:30,
14/11/2022 14:00,AS1,15/11/2022 15:34,15/11/2022 16:04,
14/11/2022 14:30,Saber,15/11/2022 16:10,15/11/2022 16:45,
14/11/2022 15:00,Bougie,15/11/2022 16:45,15/11/2022 17:00,
14/11/2022 15:30,Aera,15/11/2022 17:18,15/11/2022 17:28,
14/11/2022 16:00,BricoP,16/11/2022 10:00,16/11/2022 10:15,Hot glue
14/11/2022 16:30,Saber,16/11/2022 10:35,16/11/2022 11:05,
14/11/2022 17:00,Saber,16/11/2022 11:20,16/11/2022 11:40,
14/11/2022 17:30,Asp,16/11/2022 14:35,16/11/2022 14:45,
15/11/2022 09:00,AS1,16/11/2022 14:45,16/11/2022 15:15,
15/11/2022 09:30,Aera,16/11/2022 15:15,16/11/2022 15:25,
15/11/2022 10:00,AS1,16/11/2022 15:27,16/11/2022 16:00,
15/11/2022 10:30,Asp,16/11/2022 16:05,16/11/2022 16:15,
15/11/2022 11:00,SdB,16/11/2022 16:30,16/11/2022 17:00,
15/11/2022 11:30,Saber,16/11/2022 17:00,16/11/2022 17:30,
15/11/2022 12:00,Saber,17/11/2022 10:00,17/11/2022 10:30,
15/11/2022 12:30,Aera,17/11/2022 10:30,17/11/2022 10:40,
15/11/2022 13:00,Aera,17/11/2022 10:30,17/11/2022 10:40,Removed
15/11/2022 13:30,Bougie,17/11/2022 10:40,17/11/2022 11:10,
15/11/2022 14:00,BricoC,17/11/2022 11:45,17/11/2022 12:00,Wood cut + 5 holes
15/11/2022 14:30,Oeuf,17/11/2022 14:15,17/11/2022 14:30,
15/11/2022 15:00,BricoP,17/11/2022 14:35,17/11/2022 14:50,Hot glue
15/11/2022 15:30,AS1,17/11/2022 15:00,17/11/2022 15:30,
15/11/2022 16:00,SdB,17/11/2022 15:35,17/11/2022 16:05,
15/11/2022 16:30,AS1,17/11/2022 16:05,17/11/2022 16:35,
15/11/2022 17:00,Bougie,17/11/2022 16:40,17/11/2022 17:10,Close at 17:40
15/11/2022 17:30,BricoP,18/11/2022 15:00,18/11/2022 15:15,Hot glue
16/11/2022 09:00,Nett,18/11/2022 15:20,18/11/2022 15:35,floor: javel + vaseille
16/11/2022 09:30,AS1,18/11/2022 15:55,18/11/2022 16:25,
16/11/2022 10:00,Aera,18/11/2022 16:25,18/11/2022 16:40,changed from Saber air too hard
16/11/2022 10:30,Saber,18/11/2022 16:40,18/11/2022 17:10,
16/11/2022 11:00,SdB,21/11/2022 11:15,21/11/2022 11:45,
16/11/2022 11:30,Nett,21/11/2022 11:50,21/11/2022 12:05,floor: javel + vaseille
16/11/2022 12:00,Aera,21/11/2022 12:25,21/11/2022 12:40,
16/11/2022 12:30,Saber,21/11/2022 13:30,21/11/2022 14:00,
16/11/2022 13:00,SdB,21/11/2022 14:05,21/11/2022 14:35,
16/11/2022 13:30,Nett,21/11/2022 14:45,21/11/2022 15:00,floor: javel + vaseille
16/11/2022 14:00,Asp,21/11/2022 15:25,21/11/2022 15:35,
16/11/2022 14:30,Aera,21/11/2022 15:45,21/11/2022 16:00,changed from Saber air too hard
16/11/2022 15:00,AS1,21/11/2022 16:10,21/11/2022 16:40,
16/11/2022 15:30,Saber,22/11/2022 10:30,22/11/2022 11:00,
16/11/2022 16:00,BricoP,22/11/2022 11:10,22/11/2022 11:25,Hot glue
16/11/2022 16:30,AS1,22/11/2022 11:30,22/11/2022 12:02,with coffee
16/11/2022 17:00,Aera,22/11/2022 12:02,22/11/2022 12:17,
16/11/2022 17:30,BricoC,22/11/2022 15:00,22/11/2022 15:15,Wood cut + 5 holes,cheiro forte de comida na roupa,,,
17/11/2022 09:00,Nett,22/11/2022 15:20,22/11/2022 15:50,floor: javel + vaseille
17/11/2022 09:30,Aera,22/11/2022 16:10,22/11/2022 16:25,
17/11/2022 10:00,SdB,22/11/2022 16:25,22/11/2022 16:55,shook towel at the end
17/11/2022 10:30,Saber,22/11/2022 17:00,22/11/2022 17:30,
17/11/2022 11:00,Oeuf,22/11/2022 17:35,22/11/2022 17:45,
17/11/2022 11:30,Nett,28/11/2022 14:30,28/11/2022 14:45,floor: javel + vaseille
17/11/2022 12:00,Asp,28/11/2022 15:00,28/11/2022 15:10,
17/11/2022 12:30,SdB,28/11/2022 15:20,28/11/2022 15:50,
17/11/2022 13:00,Aera,28/11/2022 16:00,28/11/2022 16:15,
17/11/2022 13:30,Nett,28/11/2022 16:30,28/11/2022 16:45,floor: javel + vaseille
17/11/2022 14:00,Aera,28/11/2022 17:00,28/11/2022 17:15,
17/11/2022 14:30,Bougie,28/11/2022 17:15,28/11/2022 17:45,
17/11/2022 15:00,Asp,29/11/2022 10:02,29/11/2022 10:12,aspirador falhou algumas vezes
17/11/2022 15:30,AS1,29/11/2022 10:16,29/11/2022 10:46,
17/11/2022 16:00,AS1,29/11/2022 11:00,29/11/2022 11:30,
17/11/2022 16:30,Bougie,29/11/2022 11:35,29/11/2022 11:55,
17/11/2022 17:00,Saber,29/11/2022 14:10,29/11/2022 14:40,
17/11/2022 17:30,Aera,29/11/2022 14:45,29/11/2022 15:00,
18/11/2022 09:00,Nett,29/11/2022 15:00,29/11/2022 15:15,floor: javel + vaseille
18/11/2022 09:30,AS1,29/11/2022 15:30,29/11/2022 16:00,
18/11/2022 10:00,Saber,29/11/2022 16:15,29/11/2022 16:45,
18/11/2022 10:30,BricoP,29/11/2022 17:00,29/11/2022 17:15,
18/11/2022 11:00,Saber,29/11/2022 17:15,29/11/2022 17:45,
18/11/2022 11:30,Nett,30/11/2022 09:45,30/11/2022 10:00,floor: javel + vaseille
18/11/2022 12:00,Asp,30/11/2022 10:15,30/11/2022 10:25,
18/11/2022 12:30,Aera,30/11/2022 10:35,30/11/2022 10:50,
18/11/2022 13:00,BricoP,30/11/2022 11:00,30/11/2022 11:15,
18/11/2022 13:30,Asp,30/11/2022 11:25,30/11/2022 11:35,
18/11/2022 14:00,AS1,30/11/2022 11:40,30/11/2022 12:10,
18/11/2022 14:30,Oeuf,30/11/2022 12:20,30/11/2022 12:35,"Clara verde, cheiro fraco de podre"
18/11/2022 15:00,Saber,30/11/2022 14:00,30/11/2022 14:30,
18/11/2022 15:30,SdB,30/11/2022 14:35,30/11/2022 15:05,
18/11/2022 16:00,Asp,30/11/2022 15:20,30/11/2022 15:30,
18/11/2022 16:30,Nett,30/11/2022 15:45,30/11/2022 16:00,floor: javel + vaseille
18/11/2022 17:00,Asp,30/11/2022 16:35,30/11/2022 16:45,
18/11/2022 17:30,SdB,30/11/2022 16:50,30/11/2022 17:20,
21/11/2022 09:00,Saber,1/12/2022 10:00,1/12/2022 10:30,
21/11/2022 09:30,Asp,1/12/2022 12:46,1/12/2022 12:56,
21/11/2022 10:00,AS1,1/12/2022 14:00,1/12/2022 14:30,
21/11/2022 10:30,Bougie,1/12/2022 14:30,1/12/2022 15:00,,bricop,19,,so far
